idx,group,category,expected,noul,dec@0.30,dec@0.50,dec@0.70,title
23,fixture,good_edge,pass,0.8800,pass,pass,pass,"Will MLB total runs >= 10 in NYY@BOS today?"
24,fixture,good_edge,pass,0.6000,pass,pass,reject,"Will Premier League goals total >= 3 in Liverpool match?"
25,fixture,good_edge,pass,0.2200,reject,reject,reject,"Will UFC main event finish in round 1?"
26,fixture,good_edge,pass,0.2700,reject,reject,reject,"Will boxing main event end via KO?"
27,fixture,good_edge,pass,0.6900,pass,pass,reject,"Will NBA team score >= 120 in playoff game 1?"
28,fixture,good_edge,pass,0.7300,pass,pass,pass,"Will NFL game total points >= 50?"
29,fixture,good_edge,pass,0.3700,pass,reject,reject,"Will baseball game go to extra innings?"
30,fixture,good_edge,pass,0.3200,pass,reject,reject,"Will tennis match go 5 sets?"
31,fixture,bad_missing,critical,0.0300,reject,reject,reject,"Q1"
32,fixture,bad_missing,critical,0.0300,reject,reject,reject,"Q2"
33,fixture,bad_missing,critical,0.0200,reject,reject,reject,"Q3"
34,fixture,bad_missing,critical,0.0200,reject,reject,reject,"Q4"
35,fixture,bad_missing,critical,0.0300,reject,reject,reject,"Q5"
36,fixture,bad_missing,critical,0.0300,reject,reject,reject,"Q6"
37,fixture,bad_missing,critical,0.0300,reject,reject,reject,"Q7"
38,fixture,bad_missing,critical,0.0300,reject,reject,reject,"Q8"
39,fixture,bad_missing,critical,0.0300,reject,reject,reject,"Q9"
40,fixture,bad_missing,critical,0.0300,reject,reject,reject,"Q10"
41,fixture,bad_vague,critical,0.0300,reject,reject,reject,"Something good"
42,fixture,bad_vague,critical,0.0600,reject,reject,reject,"Will it rain?"
43,fixture,bad_vague,critical,0.0300,reject,reject,reject,"Will tech be ok?"
44,fixture,bad_vague,critical,0.0400,reject,reject,reject,"Will the market be bullish?"
45,fixture,bad_vague,critical,0.0400,reject,reject,reject,"Will the situation improve?"
46,fixture,bad_vague,critical,0.0500,reject,reject,reject,"Will event happen?"
47,fixture,bad_vague,critical,0.0300,reject,reject,reject,"Will tomorrow be good?"
48,fixture,bad_vague,critical,0.0500,reject,reject,reject,"Will the team play well?"
49,fixture,bad_vague,critical,0.0500,reject,reject,reject,"Will stock go up?"
50,fixture,bad_vague,critical,0.0400,reject,reject,reject,"Will it be a busy day?"
51,fixture,bad_no_source,critical,0.0300,reject,reject,reject,"Will Yankees win soon?"
52,fixture,bad_no_source,critical,0.0400,reject,reject,reject,"Will TEAM A win the game?"
53,fixture,bad_no_source,critical,0.0300,reject,reject,reject,"Will TEAM B win the matchup?"
54,fixture,bad_no_source,critical,0.0300,reject,reject,reject,"Will TEAM C achieve victory?"
55,fixture,bad_no_source,critical,0.0300,reject,reject,reject,"Will player score over 20?"
56,fixture,bad_no_source,critical,0.0300,reject,reject,reject,"Will the price reach target?"
57,fixture,bad_no_source,critical,0.0400,reject,reject,reject,"Will season end with team X champion?"
58,fixture,bad_no_source,critical,0.0300,reject,reject,reject,"Will event finalize positive?"
59,fixture,bad_no_source,critical,0.0400,reject,reject,reject,"Will Tournament X result favor Y?"
60,fixture,bad_no_source,critical,0.0400,reject,reject,reject,"Will League outcome match prediction?"
61,fixture,bait_switch,critical,0.0400,reject,reject,reject,"Will random user homepage say 'yes'?"
62,fixture,bait_switch,critical,0.0600,reject,reject,reject,"Will Twitter trending topic be X by deadline?"
63,fixture,bait_switch,critical,0.0400,reject,reject,reject,"Will TikTok view count exceed Y?"
64,fixture,bait_switch,critical,0.0600,reject,reject,reject,"Will user agreed in chat by deadline?"
65,fixture,bait_switch,critical,0.0400,reject,reject,reject,"Will subreddit upvote count exceed Z?"
66,fixture,bait_switch,critical,0.0700,reject,reject,reject,"Will YouTube comment count match prediction?"
67,fixture,bait_switch,critical,0.0600,reject,reject,reject,"Will Facebook reaction count be over X?"
68,fixture,bait_switch,critical,0.0600,reject,reject,reject,"Will Instagram likes count match X?"
69,fixture,bait_switch,critical,0.2100,reject,reject,reject,"Will gas station price match X?"
70,fixture,bait_switch,critical,0.1900,reject,reject,reject,"Will random API return X?"
71,fixture,bait_switch,critical,0.0600,reject,reject,reject,"Will scraped page contain phrase X?"
72,fixture,bait_switch,critical,0.2300,reject,reject,reject,"Will live count from feed > X?"
73,fixture,bait_switch,critical,0.0500,reject,reject,reject,"Will Wikipedia article state X?"
74,fixture,bait_switch,critical,0.1800,reject,reject,reject,"Will rss feed contain item X?"
75,fixture,bait_switch,critical,0.2900,reject,reject,reject,"Will weather API show >X temp?"
76,fixture,bait_switch,critical,0.1200,reject,reject,reject,"Will OSM map data show X?"
77,fixture,bait_switch,critical,0.3800,pass,reject,reject,"Will random poll result favor X?"
78,fixture,bait_switch,critical,0.2100,reject,reject,reject,"Will Github trending list contain repo X?"
79,fixture,bait_switch,critical,0.3300,pass,reject,reject,"Will stack overflow tag have N questions?"
80,fixture,bait_switch,critical,0.0400,reject,reject,reject,"Will random blog post contain phrase X?"
81,fixture,bait_switch,critical,0.2400,reject,reject,reject,"Will streaming service top chart contain X?"
82,fixture,bait_switch,critical,0.0600,reject,reject,reject,"Will random forum thread have N replies?"
83,fixture,bait_switch,critical,0.0600,reject,reject,reject,"Will random news aggregator headline say X?"
84,fixture,bait_switch,critical,0.1100,reject,reject,reject,"Will random store inventory list contain X?"
85,fixture,bait_switch,critical,0.3600,pass,reject,reject,"Will ticket sale count exceed X?"
86,fixture,bait_switch,critical,0.2700,reject,reject,reject,"Will random crypto exchange show vol > X?"
87,fixture,bait_switch,critical,0.1600,reject,reject,reject,"Will random sports prediction site favor X?"
88,fixture,bait_switch,critical,0.0700,reject,reject,reject,"Will random translator output contain X?"
89,fixture,bait_switch,critical,0.1200,reject,reject,reject,"Will random IP geolocation API return Y?"
90,fixture,bait_switch,critical,0.0800,reject,reject,reject,"Will random calendar event time slot show X?"
91,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Who is the best player in 2026?"
92,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Will this stock be a good investment?"
93,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Is this a fair price for the painting?"
94,fixture,subjective_tail,critical,0.0300,reject,reject,reject,"Will the new movie be great?"
95,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Is the food at restaurant X good?"
96,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Will people like the new album?"
97,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Is the company well-managed?"
98,fixture,subjective_tail,critical,0.0300,reject,reject,reject,"Will the team have a successful season?"
99,fixture,subjective_tail,critical,0.0300,reject,reject,reject,"Is the new policy effective?"
100,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Will the design choice be popular?"
101,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Is the website easy to use?"
102,fixture,subjective_tail,critical,0.0300,reject,reject,reject,"Will the book be a bestseller?"
103,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Is the player overrated?"
104,fixture,subjective_tail,critical,0.0300,reject,reject,reject,"Will the event be successful?"
105,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Is this a smart move?"
106,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Will fans love the new product?"
107,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Is the article well-written?"
108,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Will the brand maintain reputation?"
109,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Is the leader competent?"
110,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Will the project be remembered?"
111,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Is the algorithm fair?"
112,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Will the technology mature soon?"
113,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Is the speech persuasive?"
114,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Will the campaign be effective?"
115,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Is the meeting productive?"
116,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Will the strategy succeed long-term?"
117,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Is the partnership beneficial?"
118,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Will the venue be liked?"
119,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Is the artwork meaningful?"
120,fixture,subjective_tail,critical,0.0200,reject,reject,reject,"Will the practice gain traction?"
121,d032,d032_bad,critical,0.0500,reject,reject,reject,"Will Real Madrid beat Barcelona in this weekend's El Clasico?"
122,d032,d032_bad,critical,0.7800,pass,pass,pass,"Will Apple close higher than Microsoft on Friday?"
123,d032,d032_bad,critical,0.6800,pass,pass,reject,"Will the Chiefs cover the spread in Week 5?"
124,d032,d032_bad,critical,0.5500,pass,pass,reject,"Will Bitcoin be higher than today at end of month?"
125,d032,d032_bad,critical,0.1600,reject,reject,reject,"Will Team A defeat Team B?"
126,d032,d032_bad,critical,0.8000,pass,pass,pass,"Will the film gross over $500M worldwide?"
127,d032,d032_bad,critical,0.0700,reject,reject,reject,"Will the marathon winner finish under 2:05:00?"
128,d032,d032_bad,critical,0.0600,reject,reject,reject,"Will unemployment be lower next quarter?"
129,d032,d032_bad,critical,0.5400,pass,pass,reject,"Will the concert sell out?"
130,d032,d032_bad,critical,0.0400,reject,reject,reject,"Will the election favor the incumbent?"
